Weapon,Class,Slot,Attachment,Factory Default,Visual Model,Internal Weapon,Internal Attachment
KORD 6P67,Assault Rifle,Scope,RO-S 1.25X,,yes,6p67,trijiconsro
KORD 6P67,Assault Rifle,Scope,Trijiconvcog,,yes,6p67,trijiconvcog
KORD 6P67,Assault Rifle,Scope,3VZR 1.75X,,yes,6p67,vzor3
KORD 6P67,Assault Rifle,Scope,XPS3,,yes,6p67,xps3
KORD 6P67,Assault Rifle,Secondary Sight,Canted Iron Sights,,yes,6p67,cantedironsights
KORD 6P67,Assault Rifle,Secondary Sight,Cantedreflex,,yes,6p67,cantedreflex
KORD 6P67,Assault Rifle,Secondary Sight,G43 Magnifier,,yes,6p67,g43magnifier
KORD 6P67,Assault Rifle,Secondary Sight,Offsetreddot,,,6p67,offsetreddot
KORD 6P67,Assault Rifle,Secondary Sight,Secondarysight,,,6p67,secondarysight
KORD 6P67,Assault Rifle,Barrel,Basic Barrel,yes,yes,6p67,basicbarrel
KORD 6P67,Assault Rifle,Barrel,Heavy Barrel,,yes,6p67,heavybarrel
KORD 6P67,Assault Rifle,Barrel,Light Barrel,,yes,6p67,lightbarrel
KORD 6P67,Assault Rifle,Barrel,Treated Barrel,,yes,6p67,treatedbarrel
KORD 6P67,Assault Rifle,Muzzle,Ak2000545 Suppressor,,yes,6p67,ak2000545suppressor
KORD 6P67,Assault Rifle,Muzzle,Dtk-2mb,,yes,6p67,dtk-2mb
KORD 6P67,Assault Rifle,Muzzle,DTK1,,yes,6p67,dtk1
KORD 6P67,Assault Rifle,Muzzle,Flash Hider Strelaak74gen2,,yes,6p67,flashhiderstrelaak74gen2
KORD 6P67,Assault Rifle,Muzzle,Linear Comp,,yes,6p67,kvpmachlinearcomp
KORD 6P67,Assault Rifle,Muzzle,Muzzle Brake,yes,yes,6p67,muzzlebrake
KORD 6P67,Assault Rifle,Muzzle,Srvvfhmb545,,yes,6p67,srvvfhmb545
KORD 6P67,Assault Rifle,Muzzle,Stelaak74 Suppressor,,yes,6p67,stelaak74suppressor
KORD 6P67,Assault Rifle,Muzzle,Titanfs-t1flv2 Suppressor,,yes,6p67,titanfs-t1flv2suppressor
KORD 6P67,Assault Rifle,Muzzle,Tka-545,,yes,6p67,tka-545
KORD 6P67,Assault Rifle,Magazine,Extended Magazine I,,,6p67,extended1
KORD 6P67,Assault Rifle,Magazine,Extended Magazine II,,,6p67,extended2
KORD 6P67,Assault Rifle,Magazine,Extended Fast Mag II,,,6p67,extended2fast
KORD 6P67,Assault Rifle,Magazine,Extended Magazine III,,,6p67,extended3
KORD 6P67,Assault Rifle,Magazine,Extended Fast Mag III,,,6p67,extended3fast
KORD 6P67,Assault Rifle,Magazine,Fast Mag,,,6p67,fast
KORD 6P67,Assault Rifle,Magazine,Standard Magazine,yes,yes,6p67,regular
KORD 6P67,Assault Rifle,Ammo,FMJ,yes,,6p67,fmj
KORD 6P67,Assault Rifle,Ammo,Frangible,,,6p67,frangible
KORD 6P67,Assault Rifle,Ammo,Hollow Point,,,6p67,hollowpoint
KORD 6P67,Assault Rifle,Ammo,Polymer Case,,,6p67,polymer_case
KORD 6P67,Assault Rifle,Ammo,Tungsten Core,,,6p67,tungsten
KORD 6P67,Assault Rifle,Bottom Rail,6H64 Vertical,,yes,6p67,6ch64_vertical
KORD 6P67,Assault Rifle,Bottom Rail,Atlasv8,,yes,6p67,atlasv8
KORD 6P67,Assault Rifle,Bottom Rail,Bcm Stubby,,yes,6p67,bcm_stubby
KORD 6P67,Assault Rifle,Bottom Rail,Bt Grip Pod QD,,yes,6p67,bt_grippod_qd
KORD 6P67,Assault Rifle,Bottom Rail,Fab Tfs,,yes,6p67,fab_tfs
KORD 6P67,Assault Rifle,Bottom Rail,GPS2,,,6p67,gps2
KORD 6P67,Assault Rifle,Bottom Rail,Kac Vertical Grip,,yes,6p67,kac_vertical_grip
KORD 6P67,Assault Rifle,Bottom Rail,Lwrci Vfg,,yes,6p67,lwrci_vfg
KORD 6P67,Assault Rifle,Bottom Rail,Magpul Afg,,yes,6p67,magpul_afg
KORD 6P67,Assault Rifle,Bottom Rail,Magpul AFG2,,yes,6p67,magpul_afg2
KORD 6P67,Assault Rifle,Bottom Rail,Magpul Mvg,,yes,6p67,magpul_mvg
KORD 6P67,Assault Rifle,Bottom Rail,Msbs A2 Grip,,yes,6p67,msbs_a2_grip
KORD 6P67,Assault Rifle,Bottom Rail,Qbz Grip Pod,,,6p67,qbz_grippod
KORD 6P67,Assault Rifle,Bottom Rail,Tango Stubby,,yes,6p67,tango_stubby
KORD 6P67,Assault Rifle,Bottom Rail,Tangodown Vertical,,yes,6p67,tangodown_vertical
KORD 6P67,Assault Rifle,Bottom Rail,Troy,,yes,6p67,troy
KORD 6P67,Assault Rifle,Bottom Rail,Zenitco RK1,,yes,6p67,zenitco_rk1
KORD 6P67,Assault Rifle,Top Rail,Top Rail,,,6p67,toprail
KORD 6P67,Assault Rifle,Right Rail,Anpeq16b,,yes,6p67,anpeq16b
KORD 6P67,Assault Rifle,Right Rail,Dbal-a3,,yes,6p67,dbal-a3
KORD 6P67,Assault Rifle,Right Rail,La-23,,yes,6p67,la-23
KORD 6P67,Assault Rifle,Right Rail,Mepro Sting,,yes,6p67,mepro_sting
KORD 6P67,Assault Rifle,Right Rail,Modulemk3,,yes,6p67,modulemk3
KORD 6P67,Assault Rifle,Right Rail,Perst4,,yes,6p67,perst4
KORD 6P67,Assault Rifle,Right Rail,Raidxe,,yes,6p67,raidxe
KORD 6P67,Assault Rifle,Right Rail,Right Rail,,,6p67,rightrail
KORD 6P67,Assault Rifle,Right Rail,Sf300,,,6p67,sf300
KORD 6P67,Assault Rifle,Right Rail,Tl Missionlight,,yes,6p67,tl_missionlight
KORD 6P67,Assault Rifle,Right Rail,X5lg3,,yes,6p67,x5lg3
KORD 6P67,Assault Rifle,Ergonomic,Burst Fire,,,6p67,burstfireenable
KORD 6P67,Assault Rifle,Ergonomic,Ergonomic Grip,,,6p67,ergonomic
KORD 6P67,Assault Rifle,Ergonomic,Match Trigger,,,6p67,matchtrigger
ACE32,Assault Rifle,Scope,A-P2 1.75X,,yes,ace32,acrop2
ACE32,Assault Rifle,Scope,PAS 35 3.00X,,yes,ace32,anpas35
ACE32,Assault Rifle,Scope,Baker 3.00X,,yes,ace32,bravo3
ACE32,Assault Rifle,Scope,BF 2M 2.50X,,,ace32,cod2m
ACE32,Assault Rifle,Scope,CCO 2.00X,yes,yes,ace32,compm5b
ACE32,Assault Rifle,Scope,Mini Flex 1.00X,,yes,ace32,eflxmini
ACE32,Assault Rifle,Scope,Elcandr,,yes,ace32,elcandr
ACE32,Assault Rifle,Scope,LDS 4.50X,,yes,ace32,elcanlds
ACE32,Assault Rifle,Scope,Holosundrsth,,yes,ace32,holosundrsth
ACE32,Assault Rifle,Scope,Iron Sights,,yes,ace32,iron_sights
ACE32,Assault Rifle,Scope,Marchffpshorty,,yes,ace32,marchffpshorty
ACE32,Assault Rifle,Scope,RO-M 1.75X,,yes,ace32,meprom22
ACE32,Assault Rifle,Scope,Osa-7 1.00X,,yes,ace32,opk7
ACE32,Assault Rifle,Scope,Pg350,,yes,ace32,pg350
ACE32,Assault Rifle,Scope,R-MR 1.00X,,yes,ace32,rmr
ACE32,Assault Rifle,Scope,R4T 2.00X,,yes,ace32,romeo4t
ACE32,Assault Rifle,Scope,ROX 1.50X,,yes,ace32,romeox
ACE32,Assault Rifle,Scope,Shieldcqs,,yes,ace32,shieldcqs
ACE32,Assault Rifle,Scope,Spitfire,,yes,ace32,spitfire
ACE32,Assault Rifle,Scope,Steinert536,,yes,ace32,steinert536
ACE32,Assault Rifle,Scope,S-VPS 6.00X,,yes,ace32,tango6t
ACE32,Assault Rifle,Scope,RO-M 1.75X,,yes,ace32,trijiconmro
ACE32,Assault Rifle,Scope,Trijiconrco,,yes,ace32,trijiconrco
ACE32,Assault Rifle,Scope,Trijiconreapir,,yes,ace32,trijiconreapir
ACE32,Assault Rifle,Scope,SDO 3.50X,,yes,ace32,trijiconsdo
ACE32,Assault Rifle,Scope,RO-S 1.25X,,yes,ace32,trijiconsro
ACE32,Assault Rifle,Scope,Trijiconvcog,,yes,ace32,trijiconvcog
ACE32,Assault Rifle,Scope,3VZR 1.75X,,yes,ace32,vzor3
ACE32,Assault Rifle,Scope,XPS3,,yes,ace32,xps3
ACE32,Assault Rifle,Secondary Sight,Canted Iron Sights,,yes,ace32,cantedironsights
ACE32,Assault Rifle,Secondary Sight,Cantedreflex,,yes,ace32,cantedreflex
ACE32,Assault Rifle,Secondary Sight,G43 Magnifier,,yes,ace32,g43magnifier
ACE32,Assault Rifle,Secondary Sight,Offsetreddot,,,ace32,offsetreddot
ACE32,Assault Rifle,Secondary Sight,Secondarysight,,,ace32,secondarysight
ACE32,Assault Rifle,Barrel,Basic Barrel,yes,,ace32,basicbarrel
ACE32,Assault Rifle,Barrel,Extended Barrel,,,ace32,extended_barrel
ACE32,Assault Rifle,Barrel,Fluted Barrel,,,ace32,fluted_barrel
ACE32,Assault Rifle,Barrel,Short Barrel,,,ace32,short_barrel
ACE32,Assault Rifle,Barrel,Treated Barrel,,,ace32,treatedbarrel
ACE32,Assault Rifle,Muzzle,Aac SND6 Suppressor,,yes,ace32,aac_snd6_suppressor
ACE32,Assault Rifle,Muzzle,Flash Hider Ace32,yes,,ace32,flashhiderace32
ACE32,Assault Rifle,Muzzle,Hx QD Suppressor,,yes,ace32,hxqd_suppressor
ACE32,Assault Rifle,Muzzle,Linear Comp,,yes,ace32,kvpmachlinearcomp
ACE32,Assault Rifle,Muzzle,Lantacdragonmb,,yes,ace32,lantacdragonmb
ACE32,Assault Rifle,Muzzle,Qcherrybomb,,yes,ace32,qcherrybomb
ACE32,Assault Rifle,Muzzle,Rsmicrotactical,,yes,ace32,rsmicrotactical
ACE32,Assault Rifle,Muzzle,Sandman-s Mil Suppressor,,yes,ace32,sandman-s_mil_suppressor
ACE32,Assault Rifle,Muzzle,Sfwar Comp,,yes,ace32,sfwarcomp
ACE32,Assault Rifle,Muzzle,Sig Slx QD Suppressor,,yes,ace32,sig_slx_qd_suppressor
ACE32,Assault Rifle,Muzzle,Sig Tapered Mb,,yes,ace32,sig_tapered_mb
ACE32,Assault Rifle,Magazine,Compact Magazine I,,,ace32,compact1
ACE32,Assault Rifle,Magazine,Compact Magazine II,,,ace32,compact2
ACE32,Assault Rifle,Magazine,Extended Magazine I,,,ace32,extended1
ACE32,Assault Rifle,Magazine,Extended Magazine II,,,ace32,extended2
ACE32,Assault Rifle,Magazine,Extended Fast Mag II,,,ace32,extended2fast
ACE32,Assault Rifle,Magazine,Fast Mag,,,ace32,fast
ACE32,Assault Rifle,Magazine,Standard Magazine,yes,yes,ace32,regular
ACE32,Assault Rifle,Ammo,FMJ,yes,,ace32,fmj
ACE32,Assault Rifle,Ammo,Frangible,,,ace32,frangible
ACE32,Assault Rifle,Ammo,Hollow Point,,,ace32,hollowpoint
ACE32,Assault Rifle,Ammo,Polymer Case,,,ace32,polymer_case
ACE32,Assault Rifle,Ammo,Tungsten Core,,,ace32,tungsten
ACE32,Assault Rifle,Bottom Rail,6H64 Vertical,,yes,ace32,6ch64_vertical
ACE32,Assault Rifle,Bottom Rail,Atlasv8,,yes,ace32,atlasv8
ACE32,Assault Rifle,Bottom Rail,Bcm Stubby,,yes,ace32,bcm_stubby
ACE32,Assault Rifle,Bottom Rail,Bt Grip Pod QD,,yes,ace32,bt_grippod_qd
ACE32,Assault Rifle,Bottom Rail,Fab Tfs,,yes,ace32,fab_tfs
ACE32,Assault Rifle,Bottom Rail,GPS2,,,ace32,gps2
ACE32,Assault Rifle,Bottom Rail,Kac Vertical Grip,,yes,ace32,kac_vertical_grip
ACE32,Assault Rifle,Bottom Rail,Lwrci Vfg,,yes,ace32,lwrci_vfg
ACE32,Assault Rifle,Bottom Rail,Magpul Afg,,yes,ace32,magpul_afg
ACE32,Assault Rifle,Bottom Rail,Magpul AFG2,,yes,ace32,magpul_afg2
ACE32,Assault Rifle,Bottom Rail,Magpul Mvg,,yes,ace32,magpul_mvg
ACE32,Assault Rifle,Bottom Rail,Msbs A2 Grip,,yes,ace32,msbs_a2_grip
ACE32,Assault Rifle,Bottom Rail,Qbz Grip Pod,,,ace32,qbz_grippod
ACE32,Assault Rifle,Bottom Rail,Tango Stubby,,yes,ace32,tango_stubby
ACE32,Assault Rifle,Bottom Rail,Tangodown Vertical,,yes,ace32,tangodown_vertical
ACE32,Assault Rifle,Bottom Rail,Troy,,yes,ace32,troy
ACE32,Assault Rifle,Bottom Rail,Zenitco RK1,,yes,ace32,zenitco_rk1
ACE32,Assault Rifle,Top Rail,Top Rail,,,ace32,toprail
ACE32,Assault Rifle,Left Rail,Modulemk3,,yes,ace32,modulemk3
ACE32,Assault Rifle,Left Rail,Sf300,,,ace32,sf300
ACE32,Assault Rifle,Left Rail,Tl Missionlight,,yes,ace32,tl_missionlight
ACE32,Assault Rifle,Right Rail,Anpeq16b,,yes,ace32,anpeq16b
ACE32,Assault Rifle,Right Rail,Dbal-a3,,yes,ace32,dbal-a3
ACE32,Assault Rifle,Right Rail,La-23,,yes,ace32,la-23
ACE32,Assault Rifle,Right Rail,Mepro Sting,,yes,ace32,mepro_sting
ACE32,Assault Rifle,Right Rail,Perst4,,yes,ace32,perst4
ACE32,Assault Rifle,Right Rail,Raidxe,,yes,ace32,raidxe
ACE32,Assault Rifle,Right Rail,Right Rail,,,ace32,rightrail
ACE32,Assault Rifle,Ergonomic,Ergonomic Grip,,,ace32,ergonomic
ACE32,Assault Rifle,Ergonomic,Match Trigger,,,ace32,matchtrigger
ACE32,Assault Rifle,Ergonomic,Recoil Buffer,,,ace32,recoilbuffer
B36A4,Assault Rifle,Scope,A-P2 1.75X,,yes,g36,acrop2
B36A4,Assault Rifle,Scope,PAS 35 3.00X,,yes,g36,anpas35
B36A4,Assault Rifle,Scope,Baker 3.00X,,yes,g36,bravo3
B36A4,Assault Rifle,Scope,BF 2M 2.50X,,,g36,cod2m
B36A4,Assault Rifle,Scope,CCO 2.00X,yes,yes,g36,compm5b
B36A4,Assault Rifle,Scope,Mini Flex 1.00X,,yes,g36,eflxmini
B36A4,Assault Rifle,Scope,Elcandr,,yes,g36,elcandr
B36A4,Assault Rifle,Scope,LDS 4.50X,,yes,g36,elcanlds
B36A4,Assault Rifle,Scope,Holosundrsth,,yes,g36,holosundrsth
B36A4,Assault Rifle,Scope,Iron Sights,,yes,g36,ironsights
B36A4,Assault Rifle,Scope,Marchffpshorty,,yes,g36,marchffpshorty
B36A4,Assault Rifle,Scope,RO-M 1.75X,,yes,g36,meprom22
B36A4,Assault Rifle,Scope,Osa-7 1.00X,,yes,g36,opk7
B36A4,Assault Rifle,Scope,Pg350,,yes,g36,pg350
B36A4,Assault Rifle,Scope,R-MR 1.00X,,yes,g36,rmr
B36A4,Assault Rifle,Scope,R4T 2.00X,,yes,g36,romeo4t
B36A4,Assault Rifle,Scope,ROX 1.50X,,yes,g36,romeox
B36A4,Assault Rifle,Scope,Shieldcqs,,yes,g36,shieldcqs
B36A4,Assault Rifle,Scope,Spitfire,,yes,g36,spitfire
B36A4,Assault Rifle,Scope,Steinert536,,yes,g36,steinert536
B36A4,Assault Rifle,Scope,S-VPS 6.00X,,yes,g36,tango6t
B36A4,Assault Rifle,Scope,RO-M 1.75X,,yes,g36,trijiconmro
B36A4,Assault Rifle,Scope,Trijiconrco,,yes,g36,trijiconrco
B36A4,Assault Rifle,Scope,Trijiconreapir,,yes,g36,trijiconreapir
B36A4,Assault Rifle,Scope,SDO 3.50X,,yes,g36,trijiconsdo
B36A4,Assault Rifle,Scope,RO-S 1.25X,,yes,g36,trijiconsro
B36A4,Assault Rifle,Scope,Trijiconvcog,,yes,g36,trijiconvcog
B36A4,Assault Rifle,Scope,3VZR 1.75X,,yes,g36,vzor3
B36A4,Assault Rifle,Scope,XPS3,,yes,g36,xps3
B36A4,Assault Rifle,Secondary Sight,Canted Iron Sights,,yes,g36,cantedironsights
B36A4,Assault Rifle,Secondary Sight,Cantedreflex,,yes,g36,cantedreflex
B36A4,Assault Rifle,Secondary Sight,G43 Magnifier,,yes,g36,g43magnifier
B36A4,Assault Rifle,Secondary Sight,Offsetreddot,,,g36,offsetreddot
B36A4,Assault Rifle,Secondary Sight,Secondarysight,,yes,g36,secondarysight
B36A4,Assault Rifle,Barrel,Basic Barrel,yes,yes,g36,basicbarrel
B36A4,Assault Rifle,Barrel,Extended Barrel,,yes,g36,extendedbarrel
B36A4,Assault Rifle,Barrel,Heavy Barrel,,yes,g36,heavybarrel
B36A4,Assault Rifle,Barrel,Heavy Extended Barrel,,yes,g36,hvyextbarrel
B36A4,Assault Rifle,Barrel,Light Barrel,,yes,g36,lightbarrel
B36A4,Assault Rifle,Barrel,Short Barrel,,yes,g36,shortbarrel
B36A4,Assault Rifle,Barrel,Treated Barrel,,yes,g36,treatedbarrel
B36A4,Assault Rifle,Muzzle,Comp Actstreamer,,yes,g36,compactstreamer
B36A4,Assault Rifle,Muzzle,Flash Hider G36,yes,yes,g36,flashhiderg36
B36A4,Assault Rifle,Muzzle,Hx- QD 556,,yes,g36,hx-qd556
B36A4,Assault Rifle,Muzzle,Hx QD Mb,,yes,g36,hxqd_mb
B36A4,Assault Rifle,Muzzle,Linear Comp,,yes,g36,kvpmachlinearcomp
B36A4,Assault Rifle,Muzzle,Rotexv Suppressor,,yes,g36,rotexvsuppressor
B36A4,Assault Rifle,Muzzle,Sakoslim Brake,,yes,g36,sakoslimbrake
B36A4,Assault Rifle,Muzzle,Sandman-s Mil Suppressor,,yes,g36,sandman-s_mil_suppressor
B36A4,Assault Rifle,Muzzle,Sfwar Comp,,yes,g36,sfwarcomp
B36A4,Assault Rifle,Muzzle,Silentsteelmb,,yes,g36,silentsteelmb
B36A4,Assault Rifle,Magazine,Compact Magazine I,,,g36,compact1
B36A4,Assault Rifle,Magazine,Compact Magazine II,,,g36,compact2
B36A4,Assault Rifle,Magazine,Extended Magazine I,,,g36,extended1
B36A4,Assault Rifle,Magazine,Extended Magazine II,,,g36,extended2
B36A4,Assault Rifle,Magazine,Extended Fast Mag II,,,g36,extended2fast
B36A4,Assault Rifle,Magazine,Extended Magazine III,,,g36,extended3
B36A4,Assault Rifle,Magazine,Extended Fast Mag III,,,g36,extended3fast
B36A4,Assault Rifle,Magazine,Fast Mag,,,g36,fast
B36A4,Assault Rifle,Magazine,Standard Magazine,yes,yes,g36,regular
B36A4,Assault Rifle,Ammo,Synthetic Tip,,,g36,ballistictip
B36A4,Assault Rifle,Ammo,FMJ,yes,,g36,fmj
B36A4,Assault Rifle,Ammo,Frangible,,,g36,frangible
B36A4,Assault Rifle,Ammo,Hollow Point,,,g36,hollowpoint
B36A4,Assault Rifle,Ammo,Polymer Case,,,g36,polymer_case
B36A4,Assault Rifle,Ammo,Tungsten Core,,,g36,tungsten
B36A4,Assault Rifle,Bottom Rail,6H64 Vertical,,yes,g36,6ch64_vertical
B36A4,Assault Rifle,Bottom Rail,Atlasv8,,yes,g36,atlasv8
B36A4,Assault Rifle,Bottom Rail,Bcm Stubby,,yes,g36,bcm_stubby
B36A4,Assault Rifle,Bottom Rail,Bottom Rail,,,g36,bottomrail
B36A4,Assault Rifle,Bottom Rail,Bt Grip Pod QD,,yes,g36,bt_grippod_qd
B36A4,Assault Rifle,Bottom Rail,Fab Tfs,,yes,g36,fab_tfs
B36A4,Assault Rifle,Bottom Rail,GPS2,,,g36,gps2
B36A4,Assault Rifle,Bottom Rail,Hfga,,yes,g36,hfga
B36A4,Assault Rifle,Bottom Rail,Kac Vertical Grip,,yes,g36,kac_vertical_grip
B36A4,Assault Rifle,Bottom Rail,Lwrci Vfg,,yes,g36,lwrci_vfg
B36A4,Assault Rifle,Bottom Rail,Magpul Afg,,yes,g36,magpul_afg
B36A4,Assault Rifle,Bottom Rail,Magpul AFG2,,yes,g36,magpul_afg2
B36A4,Assault Rifle,Bottom Rail,Magpul Mvg,,yes,g36,magpul_mvg
B36A4,Assault Rifle,Bottom Rail,Msbs A2 Grip,,yes,g36,msbs_a2_grip
B36A4,Assault Rifle,Bottom Rail,Qbz Grip Pod,,,g36,qbz_grippod
B36A4,Assault Rifle,Bottom Rail,Tango Stubby,,yes,g36,tango_stubby
B36A4,Assault Rifle,Bottom Rail,Tangodown Vertical,,yes,g36,tangodown_vertical
B36A4,Assault Rifle,Bottom Rail,Troy,,yes,g36,troy
B36A4,Assault Rifle,Bottom Rail,Ugl Mount,,yes,g36,ugl_mount
B36A4,Assault Rifle,Bottom Rail,Zenitco RK1,,yes,g36,zenitco_rk1
B36A4,Assault Rifle,Top Rail,Anpeq16b,,yes,g36,anpeq16b
B36A4,Assault Rifle,Top Rail,Dbal-a3,,yes,g36,dbal-a3
B36A4,Assault Rifle,Top Rail,La-23,,yes,g36,la-23
B36A4,Assault Rifle,Top Rail,Mepro Sting,,yes,g36,mepro_sting
B36A4,Assault Rifle,Top Rail,Perst4,,yes,g36,perst4
B36A4,Assault Rifle,Top Rail,Raidxe,,yes,g36,raidxe
B36A4,Assault Rifle,Right Rail,Modulemk3,,yes,g36,modulemk3
B36A4,Assault Rifle,Right Rail,Right Rail,,,g36,rightrail
B36A4,Assault Rifle,Right Rail,Sf300,,,g36,sf300
B36A4,Assault Rifle,Right Rail,Tl Missionlight,,yes,g36,tl_missionlight
B36A4,Assault Rifle,Ergonomic,Ergonomic Grip,,,g36,ergonomic
B36A4,Assault Rifle,Ergonomic,Match Trigger,,,g36,matchtrigger
B36A4,Assault Rifle,Ergonomic,Recoil Buffer,,,g36,recoilbuffer
AK4D,Assault Rifle,Scope,A-P2 1.75X,,yes,g3a4,acrop2
AK4D,Assault Rifle,Scope,PAS 35 3.00X,,yes,g3a4,anpas35
AK4D,Assault Rifle,Scope,Baker 3.00X,,yes,g3a4,bravo3
AK4D,Assault Rifle,Scope,BF 2M 2.50X,,,g3a4,cod2m
AK4D,Assault Rifle,Scope,CCO 2.00X,yes,yes,g3a4,compm5b
AK4D,Assault Rifle,Scope,Mini Flex 1.00X,,yes,g3a4,eflxmini
AK4D,Assault Rifle,Scope,Elcandr,,yes,g3a4,elcandr
AK4D,Assault Rifle,Scope,LDS 4.50X,,yes,g3a4,elcanlds
AK4D,Assault Rifle,Scope,Holosundrsth,,yes,g3a4,holosundrsth
AK4D,Assault Rifle,Scope,Iron Sights,,,g3a4,iron_sights
AK4D,Assault Rifle,Scope,Marchffpshorty,,yes,g3a4,marchffpshorty
AK4D,Assault Rifle,Scope,RO-M 1.75X,,yes,g3a4,meprom22
AK4D,Assault Rifle,Scope,Osa-7 1.00X,,yes,g3a4,opk7
AK4D,Assault Rifle,Scope,Pg350,,yes,g3a4,pg350
AK4D,Assault Rifle,Scope,R-MR 1.00X,,yes,g3a4,rmr
AK4D,Assault Rifle,Scope,R4T 2.00X,,yes,g3a4,romeo4t
AK4D,Assault Rifle,Scope,ROX 1.50X,,yes,g3a4,romeox
AK4D,Assault Rifle,Scope,Shieldcqs,,yes,g3a4,shieldcqs
AK4D,Assault Rifle,Scope,Spitfire,,yes,g3a4,spitfire
AK4D,Assault Rifle,Scope,Steinert536,,yes,g3a4,steinert536
AK4D,Assault Rifle,Scope,S-VPS 6.00X,,yes,g3a4,tango6t
AK4D,Assault Rifle,Scope,RO-M 1.75X,,yes,g3a4,trijiconmro
AK4D,Assault Rifle,Scope,Trijiconrco,,yes,g3a4,trijiconrco
AK4D,Assault Rifle,Scope,Trijiconreapir,,yes,g3a4,trijiconreapir
AK4D,Assault Rifle,Scope,SDO 3.50X,,yes,g3a4,trijiconsdo
AK4D,Assault Rifle,Scope,RO-S 1.25X,,yes,g3a4,trijiconsro
AK4D,Assault Rifle,Scope,Trijiconvcog,,yes,g3a4,trijiconvcog
AK4D,Assault Rifle,Scope,3VZR 1.75X,,yes,g3a4,vzor3
AK4D,Assault Rifle,Scope,XPS3,,yes,g3a4,xps3
AK4D,Assault Rifle,Secondary Sight,Canted Iron Sights,,yes,g3a4,cantedironsights
AK4D,Assault Rifle,Secondary Sight,Cantedreflex,,yes,g3a4,cantedreflex
AK4D,Assault Rifle,Secondary Sight,G43 Magnifier,,yes,g3a4,g43magnifier
AK4D,Assault Rifle,Secondary Sight,Offsetreddot,,,g3a4,offsetreddot
AK4D,Assault Rifle,Barrel,Basic Barrel,yes,yes,g3a4,basicbarrel
AK4D,Assault Rifle,Barrel,Extended Barrel,,yes,g3a4,extendedbarrel
AK4D,Assault Rifle,Barrel,Heavy Barrel,,yes,g3a4,heavybarrel
AK4D,Assault Rifle,Barrel,Heavy Extended Barrel,,yes,g3a4,heavyextendedbarrel
AK4D,Assault Rifle,Barrel,Short Barrel,,yes,g3a4,shortbarrel
AK4D,Assault Rifle,Barrel,Treated Barrel,,yes,g3a4,treatedbarrel
AK4D,Assault Rifle,Muzzle,Comp Actstreamer,,yes,g3a4,compactstreamer
AK4D,Assault Rifle,Muzzle,Flash Hider G3A4,yes,,g3a4,flashhiderg3a4
AK4D,Assault Rifle,Muzzle,Huxmb,,,g3a4,huxmb
AK4D,Assault Rifle,Muzzle,Hx QD 762 Suppressor,,yes,g3a4,hxqd762suppressor
AK4D,Assault Rifle,Muzzle,Linear Comp,,yes,g3a4,kvpmachlinearcomp
AK4D,Assault Rifle,Muzzle,Rotexiia Suppressor,,yes,g3a4,rotexiiasuppressor
AK4D,Assault Rifle,Muzzle,Sakoslim Brake,,yes,g3a4,sakoslimbrake
